,Zip_code,Total scores,# of schools,population,Per school,Per capita
0,60601,0.0,0.0,13695,0.0,0.0
1,60602,6.0,2.0,1252,3.0,0.004792332268370607
2,60603,0.0,0.0,1029,0.0,0.0
3,60604,0.0,0.0,619,0.0,0.0
4,60605,4.0,1.0,26623,4.0,0.00015024602787063818
5,60606,0.0,0.0,3011,0.0,0.0
6,60607,20.0,6.0,28377,3.3333333333333335,0.0007047961377171653
7,60608,74.0,27.0,78072,2.740740740740741,0.000947843016702531
8,60609,58.0,27.0,62250,2.1481481481481484,0.0009317269076305221
9,60610,25.0,8.0,38438,3.125,0.0006503980436026849
10,60611,0.0,0.0,31563,0.0,0.0
11,60612,51.0,25.0,35559,2.04,0.0014342360583818443
12,60613,25.0,7.0,49519,3.5714285714285716,0.0005048567216623922
13,60614,26.0,7.0,69817,3.7142857142857144,0.00037240213701534013
14,60615,21.0,9.0,40257,2.3333333333333335,0.0005216484089723526
15,60616,42.0,16.0,52580,2.625,0.000798782807151008
16,60617,70.0,27.0,80002,2.5925925925925926,0.0008749781255468613
17,60618,56.0,19.0,95632,2.9473684210526314,0.0005855780491885561
18,60619,48.0,19.0,62822,2.526315789473684,0.0007640635446181274
19,60620,57.0,22.0,69299,2.590909090909091,0.0008225226915251302
20,60621,30.0,16.0,31383,1.875,0.0009559315553006405
21,60622,40.0,16.0,54467,2.5,0.0007343896304184185
22,60623,85.0,35.0,88137,2.4285714285714284,0.0009644076834927442
23,60624,48.0,19.0,38134,2.526315789473684,0.0012587192531599099
24,60625,53.0,15.0,79157,3.533333333333333,0.0006695554404537817
25,60626,20.0,7.0,50090,2.857142857142857,0.0003992812936713915
26,60628,50.0,25.0,68077,2.0,0.0007344624469350882
27,60629,59.0,21.0,115104,2.8095238095238093,0.0005125799277175424
28,60630,15.0,4.0,57627,3.75,0.0002602946535478161
29,60631,19.0,7.0,28238,2.7142857142857144,0.0006728521849989377
30,60632,89.0,29.0,91668,3.0689655172413794,0.0009708949688004538
31,60633,4.0,2.0,12817,2.0,0.00031208551143013184
32,60634,41.0,13.0,73382,3.1538461538461537,0.0005587201221007877
33,60636,19.0,14.0,35779,1.3571428571428572,0.0005310377595796417
34,60637,39.0,16.0,49158,2.4375,0.000793360185524228
35,60638,23.0,9.0,57746,2.5555555555555554,0.00039829598586915113
36,60639,41.0,16.0,90211,2.5625,0.00045449002893217013
37,60640,16.0,6.0,67088,2.6666666666666665,0.00023849272597185786
38,60641,32.0,12.0,70642,2.6666666666666665,0.00045298830723931936
39,60642,22.0,7.0,19508,3.142857142857143,0.0011277424646298955
40,60643,46.0,21.0,50507,2.1904761904761907,0.0009107648444770032
41,60644,34.0,15.0,49645,2.2666666666666666,0.0006848625239198308
42,60645,22.0,6.0,47131,3.6666666666666665,0.0004667840699327407
43,60646,16.0,4.0,27454,4.0,0.0005827930356232243
44,60647,37.0,14.0,88866,2.642857142857143,0.0004163572119820854
45,60649,24.0,10.0,45218,2.4,0.0005307620858949975
46,60651,42.0,15.0,61759,2.8,0.0006800628248514386
47,60652,29.0,11.0,43228,2.6363636363636362,0.0006708614786712316
48,60653,28.0,13.0,31045,2.1538461538461537,0.0009019165727170237
49,60654,0.0,0.0,17328,0.0,0.0
50,60655,16.0,5.0,28741,3.2,0.0005566960091854842
51,60656,11.0,4.0,27926,2.75,0.0003938981594213278
52,60657,21.0,6.0,70105,3.5,0.0002995506739890165
53,60659,23.0,7.0,38995,3.2857142857142856,0.0005898192075907168
54,60660,16.0,5.0,41490,3.2,0.0003856350927934442
55,60661,0.0,0.0,9343,0.0,0.0
56,60706,0.0,0.0,23604,0.0,0.0
57,60707,5.0,2.0,43451,2.5,0.00011507215023819935
58,60712,0.0,0.0,12637,0.0,0.0
59,60714,0.0,0.0,29730,0.0,0.0
60,60803,0.0,0.0,22762,0.0,0.0
61,60804,0.0,0.0,83972,0.0,0.0
62,60805,0.0,0.0,19849,0.0,0.0
63,60827,9.0,5.0,28864,1.8,0.0003118070953436807
